;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_templates/template_25;Template 25;;Шаблон 25;;;;;模板-25;;
gui/hud/building_templates/template_26;Template 26;;Шаблон 26;;;;;模板-26;;
gui/hud/building_templates/template_27;Template 27;;Шаблон 27;;;;;模板-27;;
gui/hud/building_templates/template_28;Template 28;;Шаблон 28;;;;;模板-28;;
gui/hud/building_templates/template_29;Template 29;;Шаблон 29;;;;;模板-29;;
gui/hud/building_templates/template_30;Template 30;;Шаблон 30;;;;;模板-30;;
gui/hud/building_templates/template_31;Template 31;;Шаблон 31;;;;;模板-31;;
gui/hud/building_templates/template_32;Template 32;;Шаблон 32;;;;;模板-32;;
gui/hud/building_templates/template_33;Template 33;;Шаблон 33;;;;;模板-33;;
gui/hud/building_templates/template_34;Template 34;;Шаблон 34;;;;;模板-34;;
gui/hud/building_templates/template_35;Template 35;;Шаблон 35;;;;;模板-35;;
gui/hud/building_templates/template_36;Template 36;;Шаблон 36;;;;;模板-36;;
gui/hud/building_templates/template_37;Template 37;;Шаблон 37;;;;;模板-37;;
gui/hud/building_templates/template_38;Template 38;;Шаблон 38;;;;;模板-38;;
gui/hud/building_templates/template_39;Template 39;;Шаблон 39;;;;;模板-39;;
gui/hud/building_templates/template_40;Template 40;;Шаблон 40;;;;;模板-40;;
gui/hud/building_templates/template_41;Template 41;;Шаблон 41;;;;;模板-41;;
gui/hud/building_templates/template_42;Template 42;;Шаблон 42;;;;;模板-42;;
gui/hud/building_templates/template_43;Template 43;;Шаблон 43;;;;;模板-43;;
gui/hud/building_templates/template_44;Template 44;;Шаблон 44;;;;;模板-44;;
gui/hud/building_templates/template_45;Template 45;;Шаблон 45;;;;;模板-45;;
gui/hud/building_templates/template_46;Template 46;;Шаблон 46;;;;;模板-46;;
gui/hud/building_templates/template_47;Template 47;;Шаблон 47;;;;;模板-47;;
gui/hud/building_templates/template_48;Template 48;;Шаблон 48;;;;;模板-48;;
gui/hud/building_templates/template_49;Template 49;;Шаблон 49;;;;;模板-49;;
gui/hud/building_templates/template_50;Template 50;;Шаблон 50;;;;;模板-50;;
gui/hud/building_templates/template_51;Template 51;;Шаблон 51;;;;;模板-51;;
gui/hud/building_templates/template_52;Template 52;;Шаблон 52;;;;;模板-52;;
gui/hud/building_templates/template_53;Template 53;;Шаблон 53;;;;;模板-53;;
gui/hud/building_templates/template_54;Template 54;;Шаблон 54;;;;;模板-54;;
gui/hud/building_templates/template_55;Template 55;;Шаблон 55;;;;;模板-55;;
gui/hud/building_templates/template_56;Template 56;;Шаблон 56;;;;;模板-56;;
gui/hud/building_templates/template_57;Template 57;;Шаблон 57;;;;;模板-57;;
gui/hud/building_templates/template_58;Template 58;;Шаблон 58;;;;;模板-58;;
gui/hud/building_templates/template_59;Template 59;;Шаблон 59;;;;;模板-59;;
gui/hud/building_templates/template_60;Template 60;;Шаблон 60;;;;;模板-60;;
;;;;;;;;;;
gui/hud/building_name/buildings_picker_25_tool;Select buildings for Template 25;;Выбрать здания для шаблона 25;;;;;选择建筑物保存为模板-25;;
gui/hud/building_name/buildings_picker_26_tool;Select buildings for Template 26;;Выбрать здания для шаблона 26;;;;;选择建筑物保存为模板-26;;
gui/hud/building_name/buildings_picker_27_tool;Select buildings for Template 27;;Выбрать здания для шаблона 27;;;;;选择建筑物保存为模板-27;;
gui/hud/building_name/buildings_picker_28_tool;Select buildings for Template 28;;Выбрать здания для шаблона 28;;;;;选择建筑物保存为模板-28;;
gui/hud/building_name/buildings_picker_29_tool;Select buildings for Template 29;;Выбрать здания для шаблона 29;;;;;选择建筑物保存为模板-29;;
gui/hud/building_name/buildings_picker_30_tool;Select buildings for Template 30;;Выбрать здания для шаблона 30;;;;;选择建筑物保存为模板-30;;
gui/hud/building_name/buildings_picker_31_tool;Select buildings for Template 31;;Выбрать здания для шаблона 31;;;;;选择建筑物保存为模板-31;;
gui/hud/building_name/buildings_picker_32_tool;Select buildings for Template 32;;Выбрать здания для шаблона 32;;;;;选择建筑物保存为模板-32;;
gui/hud/building_name/buildings_picker_33_tool;Select buildings for Template 33;;Выбрать здания для шаблона 33;;;;;选择建筑物保存为模板-33;;
gui/hud/building_name/buildings_picker_34_tool;Select buildings for Template 34;;Выбрать здания для шаблона 34;;;;;选择建筑物保存为模板-34;;
gui/hud/building_name/buildings_picker_35_tool;Select buildings for Template 35;;Выбрать здания для шаблона 35;;;;;选择建筑物保存为模板-35;;
gui/hud/building_name/buildings_picker_36_tool;Select buildings for Template 36;;Выбрать здания для шаблона 36;;;;;选择建筑物保存为模板-36;;
gui/hud/building_name/buildings_picker_37_tool;Select buildings for Template 37;;Выбрать здания для шаблона 37;;;;;选择建筑物保存为模板-37;;
gui/hud/building_name/buildings_picker_38_tool;Select buildings for Template 38;;Выбрать здания для шаблона 38;;;;;选择建筑物保存为模板-38;;
gui/hud/building_name/buildings_picker_39_tool;Select buildings for Template 39;;Выбрать здания для шаблона 39;;;;;选择建筑物保存为模板-39;;
gui/hud/building_name/buildings_picker_40_tool;Select buildings for Template 40;;Выбрать здания для шаблона 40;;;;;选择建筑物保存为模板-40;;
gui/hud/building_name/buildings_picker_41_tool;Select buildings for Template 41;;Выбрать здания для шаблона 41;;;;;选择建筑物保存为模板-41;;
gui/hud/building_name/buildings_picker_42_tool;Select buildings for Template 42;;Выбрать здания для шаблона 42;;;;;选择建筑物保存为模板-42;;
gui/hud/building_name/buildings_picker_43_tool;Select buildings for Template 43;;Выбрать здания для шаблона 43;;;;;选择建筑物保存为模板-43;;
gui/hud/building_name/buildings_picker_44_tool;Select buildings for Template 44;;Выбрать здания для шаблона 44;;;;;选择建筑物保存为模板-44;;
gui/hud/building_name/buildings_picker_45_tool;Select buildings for Template 45;;Выбрать здания для шаблона 45;;;;;选择建筑物保存为模板-45;;
gui/hud/building_name/buildings_picker_46_tool;Select buildings for Template 46;;Выбрать здания для шаблона 46;;;;;选择建筑物保存为模板-46;;
gui/hud/building_name/buildings_picker_47_tool;Select buildings for Template 47;;Выбрать здания для шаблона 47;;;;;选择建筑物保存为模板-47;;
gui/hud/building_name/buildings_picker_48_tool;Select buildings for Template 48;;Выбрать здания для шаблона 48;;;;;选择建筑物保存为模板-48;;
gui/hud/building_name/buildings_picker_49_tool;Select buildings for Template 49;;Выбрать здания для шаблона 49;;;;;选择建筑物保存为模板-49;;
gui/hud/building_name/buildings_picker_50_tool;Select buildings for Template 50;;Выбрать здания для шаблона 50;;;;;选择建筑物保存为模板-50;;
gui/hud/building_name/buildings_picker_51_tool;Select buildings for Template 51;;Выбрать здания для шаблона 51;;;;;选择建筑物保存为模板-51;;
gui/hud/building_name/buildings_picker_52_tool;Select buildings for Template 52;;Выбрать здания для шаблона 52;;;;;选择建筑物保存为模板-52;;
gui/hud/building_name/buildings_picker_53_tool;Select buildings for Template 53;;Выбрать здания для шаблона 53;;;;;选择建筑物保存为模板-53;;
gui/hud/building_name/buildings_picker_54_tool;Select buildings for Template 54;;Выбрать здания для шаблона 54;;;;;选择建筑物保存为模板-54;;
gui/hud/building_name/buildings_picker_55_tool;Select buildings for Template 55;;Выбрать здания для шаблона 55;;;;;选择建筑物保存为模板-55;;
gui/hud/building_name/buildings_picker_56_tool;Select buildings for Template 56;;Выбрать здания для шаблона 56;;;;;选择建筑物保存为模板-56;;
gui/hud/building_name/buildings_picker_57_tool;Select buildings for Template 57;;Выбрать здания для шаблона 57;;;;;选择建筑物保存为模板-57;;
gui/hud/building_name/buildings_picker_58_tool;Select buildings for Template 58;;Выбрать здания для шаблона 58;;;;;选择建筑物保存为模板-58;;
