;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/floor_tool_1;Floor 1x1 Area Build Tool;;Инструмент постройки пола 1 на 1 на большой области;;;;;;;
gui/hud/building_description/floor_tool_1;This tool allows you to build a 1x1 Floor on big area.;;Этот инструмент позволяет построить пол с ячейкой 1 на 1 на большой области.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/floor_tool_2;Floor 2x2 Area Build Tool;;Инструмент постройки пола 2 на 2 на большой области;;;;;;;
gui/hud/building_description/floor_tool_2;This tool allows you to build a 2x2 Floor on big area.;;Этот инструмент позволяет построить пол с ячейкой 2 на 2 на большой области.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/floor_tool_3;Floor 3x3 Area Build Tool;;Инструмент постройки пола 3 на 3 на большой области;;;;;;;
gui/hud/building_description/floor_tool_3;This tool allows you to build a 3x3 Floor on big area.;;Этот инструмент позволяет построить пол с ячейкой 3 на 3 на большой области.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/floor_tool_4;Floor 4x4 Area Build Tool;;Инструмент постройки пола 4 на 4 на большой области;;;;;;;
gui/hud/building_description/floor_tool_4;This tool allows you to build a 4x4 Floor on big area.;;Этот инструмент позволяет построить пол с ячейкой 4 на 4 на большой области.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/floor_desert_tool_1;Extra Stable Floor 1x1 Area Build Tool;;Инструмент постройки устойчивого пола 1 на 1 на большой области;;;;;;;
gui/hud/building_description/floor_desert_tool_1;This tool allows you to build a 1x1 Extra Stable Floor on big area.;;Этот инструмент позволяет построить пол с дополнительной устойчивостью с ячейкой 1 на 1 на большой области.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/floor_desert_tool_2;Extra Stable Floor 2x2 Area Build Tool;;Инструмент постройки устойчивого пола 2 на 2 на большой области;;;;;;;
gui/hud/building_description/floor_desert_tool_2;This tool allows you to build a 2x2 Extra Stable Floor on big area.;;Этот инструмент позволяет построить пол с дополнительной устойчивостью с ячейкой 2 на 2 на большой области.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/floor_desert_tool_3;Extra Stable Floor 3x3 Area Build Tool;;Инструмент постройки устойчивого пола 3 на 3 на большой области;;;;;;;
gui/hud/building_description/floor_desert_tool_3;This tool allows you to build a 3x3 Extra Stable Floor on big area.;;Этот инструмент позволяет построить пол с дополнительной устойчивостью с ячейкой 3 на 3 на большой области.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/floor_desert_tool_4;Extra Stable Floor 4x4 Area Build Tool;;Инструмент постройки устойчивого пола 4 на 4 на большой области;;;;;;;
gui/hud/building_description/floor_desert_tool_4;This tool allows you to build a 4x4 Extra Stable Floor on big area.;;Этот инструмент позволяет построить пол с дополнительной устойчивостью с ячейкой 4 на 4 на большой области.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/floor_acid_tool_1;Anticorrosive Floor 1x1 Area Build Tool;;Инструмент постройки Антикоррозионного пола 1 на 1 на большой области;;;;;;;
gui/hud/building_description/floor_acid_tool_1;This tool allows you to build a 1x1 Anticorrosive Floor on big area.;;Этот инструмент позволяет построить Антикоррозионный пол с ячейкой 1 на 1 на большой области.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/floor_acid_tool_2;Anticorrosive Floor 2x2 Area Build Tool;;Инструмент постройки Антикоррозионного пола 2 на 2 на большой области;;;;;;;
gui/hud/building_description/floor_acid_tool_2;This tool allows you to build a 2x2 Anticorrosive Floor on big area.;;Этот инструмент позволяет построить Антикоррозионный пол с ячейкой 2 на 2 на большой области.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/floor_acid_tool_3;Anticorrosive Floor 3x3 Area Build Tool;;Инструмент постройки Антикоррозионного пола 3 на 3 на большой области;;;;;;;
gui/hud/building_description/floor_acid_tool_3;This tool allows you to build a 3x3 Anticorrosive Floor on big area.;;Этот инструмент позволяет построить Антикоррозионный пол с ячейкой 3 на 3 на большой области.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/floor_acid_tool_4;Anticorrosive Floor 4x4 Area Build Tool;;Инструмент постройки Антикоррозионного пола 4 на 4 на большой области;;;;;;;
gui/hud/building_description/floor_acid_tool_4;This tool allows you to build a 4x4 Anticorrosive Floor on big area.;;Этот инструмент позволяет построить Антикоррозионный пол с ячейкой 4 на 4 на большой области.;;;;;;;
;;;;;;;;;;
